comments,during_time,language,location,rate,star,title,types
330,98," 英语 , 汉语普通话 , 日语", 美国,7.9,40,别告诉她,"剧情,喜剧"
232,, 英语," 美国 , 中国大陆",,0,终结者：黑暗命运,"动作,科幻,冒险"
3333,104, 汉语普通话, 中国大陆,4.3,20,秦明·生死语者,"悬疑,犯罪"
3504,125," 英语 , 西班牙语 , 葡萄牙语", 美国,6.3,30,三方国界,"动作,犯罪,冒险"
1089,115, 韩语, 韩国,6.6,35,钱,犯罪
93,96, 汉语普通话, 中国大陆,,0,紫禁秘录,"爱情,悬疑,古装"
931,112, 韩语, 韩国,7.2,35,奇妙的家族,"喜剧,恐怖"
1177,92, 英语," 美国 , 加拿大",5.9,30,神童,"惊悚,恐怖"
1280,90, 汉语普通话, 中国大陆,3.4,15,转型团伙,喜剧
506,127, 韩语, 韩国,6.6,35,恶霸警察,"剧情,犯罪"
952,87, 英语, 美国,7.3,35,蝙蝠侠大战忍者神龟,"动作,动画,冒险"
278,93, 英语, 美国,5.0,25,惊天复制,"科幻,惊悚,恐怖"
100,, 汉语普通话, 中国大陆,,0,捉妖大仙2,"爱情,奇幻,古装"
1514,104, 汉语普通话, 中国大陆,2.9,15,蓝色生死恋,爱情
94,123, 汉语普通话," 中国大陆 , 新加坡",,0,长风镇,剧情
887,25, 韩语, 韩国,7.3,35,人格四重奏,剧情
74,65, 英语, 美国,7.9,40,阿兹·安萨里：此时此刻,喜剧
337,90, 汉语普通话, 中国大陆,6.1,30,镇魔司：苍龙觉醒,"动作,奇幻,武侠,古装"
1350,88, 英语, 美国,5.8,30,难道不浪漫,"喜剧,爱情,奇幻"
502,116, 日语, 日本,8.7,45,行骗天下 剧场版,"喜剧,悬疑"
1386,109, 汉语普通话, 中国大陆,2.9,15,欲念游戏,"科幻,悬疑,犯罪"
335,96, 韩语, 韩国,5.4,25,致命之旅,"惊悚,恐怖"
775,82, 日语, 日本,7.0,35,甲铁城的卡巴内瑞：海门决战,"剧情,动作,动画"
43,84, 汉语普通话, 中国大陆,,0,喜剧人之冒牌杀手,喜剧
649,133, 日语, 日本,6.8,35,假面饭店,"剧情,悬疑,犯罪"
123,105, 汉语普通话, 中国大陆,,0,动物出击,"科幻,冒险"
380,104, 日语, 日本,6.7,35,吉娃娃,剧情
414,88, 日语, 日本,6.6,35,后街女孩,剧情
29,, 英语, 美国,,0,纳尼亚传奇4：银椅,"奇幻,冒险"
39,, 日语, 日本,7.2,35,关于我转生变成史莱姆这档事 OAD,动画
985,90, 汉语普通话, 香港,2.5,15,最佳男友进化论,"喜剧,爱情"
102,, 英语, 美国,,0,第一滴血5：最后的血,"动作,惊悚,冒险"
1170,133, 韩语, 韩国,6.3,30,逃组,动作
381,103, 英语, 美国,6.4,30,丧尸未逝,"喜剧,恐怖"
151,126, 日语, 日本,6.1,30,爱歌：约定的承诺,爱情
1099,96," 英语 , 汉语普通话 , 泰语 , 印尼语 , 粤语"," 泰国 , 中国大陆 , 香港 , 美国",4.5,25,三重威胁之跨国大营救,动作
8143,, 汉语普通话, 中国大陆,,0,站住！小偷,喜剧
200,90, 英语, 美国,6.3,30,鬼娃回魂,恐怖
268,101, 法语, 法国,7.9,40,你觉得我是谁,剧情
4142,112, 西班牙语, 西班牙,8.7,45,痛苦与荣耀,"剧情,同性"
54,100, 法语, 法国,7.1,35,神秘的亨利·皮克,"剧情,喜剧"
1206,87, 英语, 美国,6.8,35,超人王朝,"动作,科幻,动画"
2656,113, 汉语普通话, 中国大陆,3.9,20,素人特工,"喜剧,动作,冒险"
779,108, 英语," 英国 , 美国",6.4,30,为家而战,"剧情,喜剧,传记,运动"
231,, 日语, 日本,6.8,35,隐匿于冬 2019年夏季篇 ~夏天也冻得要死~,"剧情,喜剧"
53,50, 汉语普通话, 中国大陆,,0,课间休息,剧情
39,95, 汉语普通话, 中国大陆,,0,忽然少年,"剧情,喜剧,爱情"
113,85, 英语, 比利时,5.1,25,女王的柯基,"喜剧,动画"
304,92, 英语, 美国,6.5,35,大人物,"喜剧,爱情"
301,96, 韩语, 韩国,7.3,35,未成年,剧情
166,100, 汉语普通话, 中国大陆,,0,铤而走险,"剧情,犯罪"
63,76, 汉语普通话, 中国大陆,,0,惊雷传说之无界,"爱情,奇幻"
188,98," 法语 , 英语"," 法国 , 比利时",6.7,35,干预,"剧情,动作,战争"
3,85, 英语, 美国,,0,玩偶,恐怖
28,100, 英语, 美国,5.1,25,谎言与偷窃,犯罪
678,80, 汉语普通话, 中国大陆,3.4,15,鬼吹灯之巫峡棺山,"悬疑,惊悚,冒险"
906,156, 英语, 美国,5.4,25,第91届奥斯卡颁奖典礼,真人秀
255,133, 英语, 美国,7.4,35,最佳敌人,"剧情,传记,历史"
1110,113, 英语, 英国,8.0,40,驭风男孩,剧情
1363,98," 汉语普通话 , 英语", 中国大陆,3.3,15,大侦探霍桑,"喜剧,动作,悬疑"
48,65, 英语, 美国,7.7,40,凯瑟琳·赖恩：耀眼如初,喜剧
21,90, 汉语普通话, 中国大陆,,0,御前夜巡使,"动作,悬疑,奇幻,古装"
227,123, 泰语, 泰国,5.6,30,美杜莎之吻,恐怖
984,," 粤语 , 汉语普通话"," 香港 , 中国大陆",2.8,15,唐伯虎点秋香2019,"喜剧,奇幻,古装"
159,108, 粤语, 香港,4.3,20,入铁笼,动作
221,110, 英语, 美国,6.4,30,朽木,西部
354,120, 英语," 英国 , 美国",5.5,30,王者少年,"奇幻,冒险"
591,89, 英语, 美国,5.8,30,完美约会对象,"喜剧,爱情"
433,107," 汉语普通话 , 粤语"," 中国大陆 , 香港",,0,小Q,剧情
138,90, 汉语普通话, 中国大陆,5.7,30,狂怒的金佛,剧情
588,107, 英语, 美国,7.7,40,劣迹斑斑,"音乐,传记"
3570,, 汉语普通话, 中国大陆,,0,上海堡垒,"爱情,科幻,战争"
309,87, 英语, 美国,2.7,15,阿拉丁历险记,"奇幻,冒险"
1436,109, 英语, 美国,5.6,30,天鹅绒圆锯,"剧情,悬疑,惊悚"
11,90, 英语, 美国,,0,绑定,惊悚
240,95," 英语 , 西班牙语"," 瑞士 , 英国 , 法国 , 美国",5.9,30,海滩流浪汉,喜剧
360,93, 英语, 美国,6.1,30,偷心女盗,喜剧
19,, 日语, 日本,,0,精灵宝可梦：超梦的逆袭·进化,"动作,动画,家庭"
6614,138, 汉语普通话, 中国大陆,,0,少年的你,"剧情,爱情"
640,77, 英语, 美国,6.3,30,正义联盟大战致命五人组,"动作,动画,奇幻"
138,92, 汉语普通话, 中国大陆,3.8,20,新河东狮吼,"喜剧,爱情,古装"
360,75, 汉语普通话, 中国大陆,4.3,20,小镇车神之五菱漂移,
113,102, 英语, 美国,5.8,30,侵入者,"剧情,悬疑,惊悚"
148,120, 泰语, 泰国,7.0,35,友情以上,"喜剧,爱情"
231,78," 汉语普通话 , 日语", 中国大陆,6.3,30,刺杀风云,"剧情,动作"
2102,165, 汉语普通话, 中国大陆,,0,八佰,"剧情,历史,战争"
435,120, 印地语, 印度,7.6,40,遇见女孩的感觉,"剧情,喜剧,爱情"
67,104, 英语, 美国,7.9,40,自卫艺术,喜剧
22,68, 汉语普通话, 中国大陆,,0,超级整蛊霸王,喜剧
11,77, 英语, 美国,,0,克林顿鬼道,恐怖
101,105, 英语, 美国,5.1,25,加密货币,"剧情,惊悚,犯罪"
144,81, 汉语普通话, 中国大陆,3.2,15,宋慈洗冤录,"动作,悬疑,武侠,古装"
441,105, 英语," 奥地利 , 英国 , 德国",6.3,30,小小乔,"剧情,科幻"
271,113, 武汉方言," 中国大陆 , 法国",,0,南方车站的聚会,"剧情,犯罪"
40,99, 英语, 美国,5.2,25,保险库,"剧情,犯罪"
75,73, 日语, 日本,6.9,35,永远的长老：命名北海道的男人松浦武四郎,"剧情,传记,历史"
138,118," 法语 , 英语"," 法国 , 比利时",8.1,40,再见钟情,"喜剧,爱情"
1,, 英语, 美国,,0,拉入地狱,"惊悚,恐怖"
107,80, 汉语普通话, 中国大陆,5.5,30,江海渔童之巨龟奇缘,动画
60,120, 英语, 美国,7.1,35,旧金山的最后一个黑人,剧情
45,89, 英语, 美国,5.9,30,南希·德鲁和隐藏的楼梯,"剧情,家庭,犯罪"
21,66, 汉语普通话, 中国大陆,,0,寻龙契约2龙炼,
123,118, 韩语, 韩国,6.4,30,自行车王严福童,传记
209,72, 日语, 日本,5.8,30,罗布奥特曼剧场版：决定了！羁绊的水晶,"喜剧,动作,科幻,儿童"
695,96, 日语, 日本,7.0,35,若能与你共乘海浪之上,"爱情,动画,奇幻"
310,90, 英语, 爱尔兰,5.2,25,地面之洞,恐怖
48,90," 粤语 , 汉语普通话"," 香港 , 马来西亚",4.2,20,玩转全家福,喜剧
331,112, 日语, 日本,8.6,45,代号基亚斯：复活的鲁路修,动画
92,96, 汉语普通话, 中国大陆,,0,送我上青云,剧情
130,118, 德语, 德国,7.0,35,系统破坏者,剧情
99,165, 英语, 美国,,0,好莱坞往事,"剧情,惊悚,传记,犯罪"
230,98, 英语, 美国,5.1,25,环球卫士,"科幻,冒险"
196,134, 日语, 日本,7.2,35,王者天下,"剧情,战争"
73,77, 法语, 法国,7.5,40,鹿皮,喜剧
6,, 日语, 日本,,0,警视厅搜查一课长 新特别篇,
62,, 日语, 日本,9.1,45,剧场版 吹响！上低音号～誓言的终章～,动画
563,77, 汉语普通话, 中国大陆,6.3,30,滚动的钢蛋,喜剧
100,, 日语, 日本,4.8,25,放射治疗室特别篇：启程,
309,101, 英语, 美国,5.3,25,俄国新娘,"惊悚,恐怖"
196,144, 韩语, 韩国,5.8,30,偶像,"惊悚,犯罪"
520,117, 日语, 日本,5.7,30,杀手餐厅,"剧情,动作"
165,99, 英语, 美国,5.6,30,马大姐,"惊悚,恐怖"
240,125, 日语, 日本,6.7,35,死命：刑警的时间,"剧情,犯罪"
637,104, 汉语普通话, 中国大陆,5.9,30,最后的日出,科幻
162,103, 英语, 美国,5.5,30,酒乡,喜剧
291,138, 印地语, 印度,5.5,30,乌里：外科手术式打击,"剧情,动作,战争"
419,96, 英语, 美国,4.8,25,少女地球守护者,科幻
740,102," 英语 , 西班牙语"," 哥伦比亚 , 阿根廷 , 荷兰 , 德国 , 瑞典 , 乌拉圭",8.1,40,猴子,"剧情,惊悚"
96,102, 英语, 美国,7.1,35,深夜秀,"剧情,喜剧"
19,93, 汉语普通话, 中国大陆,,0,匠心,剧情
124,188, 汉语普通话, 中国大陆,8.0,40,哔哩哔哩2019拜年祭,"喜剧,动画,音乐,歌舞"
21,70, 汉语普通话, 中国大陆,,0,七品神探,"喜剧,悬疑"
9,77, 日语, 日本,,0,さよなら家庭教師,
54,116, 印尼语 Indonesian, 印尼 Indonesia,4.4,20,第三只眼 2,恐怖
37,100, 英语, 加拿大,4.5,25,绑架地球人,"科幻,惊悚,恐怖"
696,174, 日语, 日本,7.4,35,悲惨世界：没有终点的旅途,剧情
296,107, 日语, 日本,7.9,40,飞翔吧！埼玉,喜剧
17,80, 汉语普通话, 中国大陆,,0,逆光岁月,"剧情,同性"
57,, 英语, 英国,8.2,40,国家剧院现场：我相信的事,
7,, 汉语普通话, 中国大陆,,0,万圣夜惊魂,"悬疑,惊悚"
85,65, 汉语普通话, 中国大陆,,0,张震讲故事之归宿,恐怖
298,72, 汉语普通话, 中国大陆,5.3,25,傀儡姬,"悬疑,奇幻"
12,125," 挪威语 , 英语", 挪威,,0,极地先锋,剧情
15,154, 印地语 Hindi, 印度 India,,0,Super 30,"剧情,传记"
262,, 汉语普通话, 中国大陆,7.8,40,德云社戊戌年封箱庆典2019,"喜剧,戏曲"
13,175, 泰卢固语, 印度,,0,圣者,"剧情,动作"
215,106, 汉语普通话, 中国大陆,,0,鼠胆英雄,喜剧
467,87, 汉语普通话, 中国大陆,3.4,15,人鱼江湖,"动作,武侠,古装"
15,113, 日语, 日本,,0,新闻记者,"剧情,悬疑,惊悚"
85,111, 日语, 日本,8.6,45,普罗米亚,"剧情,科幻,动画"
55,, 日语, 日本,8.0,40,鲁邦三世·峰不二子的谎言,动画
84,80, 英语, 美国,7.5,40,乐高DC蝙蝠侠：家族事务,"喜剧,动画,犯罪"
206,112, 英语, 美国,7.0,35,托尔金,"剧情,传记"
617,94," 阿拉伯语 , 法语 , 英语"," 英国 , 美国",5.3,25,贴身女保镖,"动作,惊悚"
799,90, 汉语普通话, 中国大陆,3.0,15,钢铁飞龙之奥特曼崛起,"动作,科幻,动画"
617,103, 法语, 法国,8.3,40,悲惨世界,剧情
78,103, 汉语普通话," 台湾 , 德国 , 马来西亚 , 缅甸",5.8,30,灼人秘密,剧情
1,170,, 英国,,0,罗密欧与朱丽叶,
10,141, 日语, 日本,,0,宇多田光Laugher in the Dark 2018 巡回演唱会,音乐
17,, 汉语普通话, 中国大陆,,0,封神传说之妖狐王妃,"动作,爱情,奇幻,古装"
112,81, 英语, 美国,4.8,25,房屋出租,惊悚
340,104, 汉语普通话, 中国大陆,4.4,20,差等生乔曦,"剧情,喜剧"
407,85, 汉语普通话, 中国大陆,4.3,20,兴风作浪,"喜剧,爱情"
51,87, 英语, 美国,4.1,20,只属于我,惊悚
41,176, 印地语, 印度,,0,卡兰克,"剧情,爱情,历史"
464,90, 汉语普通话, 中国大陆,4.4,20,羞答答的铁男,喜剧
76,89, 英语, 美国,5.7,30,神秘慈善家,喜剧
92,78, 汉语普通话, 中国大陆,,0,花与将,"剧情,爱情,奇幻"
126,96, 俄语, 俄罗斯,5.8,30,拯救列宁格勒,"剧情,爱情,战争"
202,87, 韩语, 韩国,4.6,25,怎么就结婚了,"喜剧,爱情"
123,94, 英语, 菲律宾,4.7,25,心仇,"动作,惊悚,犯罪"
257,60, 英语, 英国,5.9,30,神秘博士元旦特辑：新年决心,"科幻,悬疑"
142,64, 英语, 美国,7.6,40,安东尼·杰塞尼克：产房一把火,真人秀
26,112, 韩语, 韩国,7.4,35,梦想,爱情
5,, 粤语, 香港,,0,紅棗薏米花生,
9,,, 台湾,,0,杀人之夏,悬疑
266,119, 日语, 日本,8.0,40,七个会议,
194,93, 汉语普通话, 中国大陆,,0,花儿与歌声,"剧情,家庭,儿童"
847,90," 粤语 , 汉语普通话"," 香港 , 中国大陆",,0,催眠·裁决,"动作,犯罪"
25,101, 汉语普通话, 台湾,,0,乳。房,剧情
9,, 日语, 日本,,0,东京食尸鬼 真人版2,"剧情,恐怖,奇幻"
53,150, 汉语普通话, 中国大陆,,0,春江水暖,剧情
110,86, 汉语普通话, 中国大陆,,0,午夜怪谈,"悬疑,惊悚,恐怖"
113,80, 汉语普通话, 中国大陆,,0,盗浪淘沙,"爱情,悬疑,奇幻,冒险"
324,120, 汉语普通话, 中国大陆,,0,烈火英雄,剧情
155,96, 汉语普通话, 台湾,6.9,35,握三下，我爱你,"剧情,爱情"
55,60, 日语, 日本,7.1,35,Build NEW WORLD 假面骑士Cross-Z,动画
91,109, 英语, 美国,5.8,30,告别高中的夏天,喜剧
4,77, 韩语, 韩国,,0,我妈妈的朋友2,情色
320,69, 汉语普通话, 中国大陆,5.8,30,四大名捕之食人梦界,"动作,奇幻,武侠"
29,, 日语, 日本,7.8,40,天使降临到了我身边！ OVA,"喜剧,动画"
96,89, 汉语普通话, 中国大陆,,0,法医密码,"剧情,悬疑,犯罪"
312,116, 日语, 日本,7.1,35,再见，嘴唇,"同性,音乐"
103,89, 汉语普通话, 中国大陆,,0,洗罪,犯罪
31,145, 葡萄牙语, 巴西,,0,隐形的女人,剧情
2,74, 英语, 美国,,0,企鹅联盟,动画
7,92, 汉语普通话, 中国大陆,,0,乾坤镯,"剧情,古装"
11,94, 英语, 英国,,0,伤口,"剧情,悬疑,恐怖"
10,87," 粤语 , 汉语普通话"," 中国大陆 , 香港",,0,真假铁马骝,"剧情,动作"
418,134, 英语, 美国,,0,速度与激情：特别行动,"喜剧,动作,冒险"
87,," 汉语普通话 , 泰语", 中国大陆,,0,巅峰营救,"剧情,动作,战争,犯罪"
38,100, 汉语普通话, 中国大陆,,0,老公去哪了,"喜剧,爱情,家庭"
66,102, 英语, 美国,5.5,30,回火2,"剧情,动作,犯罪"
229,88, 汉语普通话, 中国大陆,,0,悟空奇遇记,"喜剧,动画"
46,93, 英语, 美国,6.4,30,居无定所,"剧情,惊悚"
249,86, 汉语普通话, 中国大陆,3.9,20,齐天大圣之火焰山,"喜剧,动作,爱情,古装"
377,119, 法语, 法国,6.0,30,鲁贝之灯,"剧情,犯罪"
44,,, 美国,5.9,30,爆裂兄弟,"惊悚,犯罪"
266,143, 日语, 日本,6.5,35,大奥 最终章,"剧情,历史,古装"
22,, 日语, 日本,7.0,35,假面骑士时王 外传 RIDER TIME SHINOBI,"动作,科幻"
197,104, 日语, 日本,7.6,40,猫与爷爷,剧情
145,110, 意大利语, 意大利,7.2,35,少年黑手党,剧情
322,80, 汉语普通话, 中国大陆,7.7,40,巧虎大飞船历险记,"动画,儿童"
13,, 印地语, 印度,,0,给我你的爱,"喜剧,爱情"
176,115, 汉语普通话, 中国大陆,6.4,30,武者,动作
7,, 汉语普通话, 中国大陆,,0,美猴王之真假孙悟空,
7,84, 汉语普通话, 中国大陆,,0,天池水怪,"剧情,动画,冒险"
7,99, 汉语普通话, 中国大陆,,0,记忆小偷,"喜剧,爱情,奇幻"
233,140, 汉语普通话, 中国大陆,,0,火箭少女101飞行演唱会*广州站,歌舞
17,93, 汉语普通话, 中国大陆,,0,天眼风云,剧情
69,93, 汉语普通话, 中国大陆,,0,蜻蜓少年,"剧情,儿童"
55,101, 汉语普通话, 中国大陆,,0,真爱不迟到,"剧情,爱情"
16,, 英语, 美国,,0,疯狂的麦克斯6,"动作,科幻"
18,63, 日语, 日本,5.5,30,剧场版 七人魔法使 天空图书馆与真红魔王,"动画,奇幻,冒险"
27,112, 日语, 日本,7.8,40,五亿元的人生,"剧情,喜剧"
64,, 日语, 日本,8.1,40,宅男腐女恋爱真难 OAD,动画
6,120, 汉语普通话, 中国大陆,,0,古田军号,"剧情,历史,战争"
360,100, 英语," 英国 , 法国 , 比利时",7.9,40,对不起，我们错过了你,剧情
517,60, 日语, 日本,5.6,30,摄影机不要停！ 续集 好莱坞大作战！,喜剧
32,250, 韩语, 韩国,9.3,45,2019 Wanna One Concert [Therefore],
6,, 汉语普通话, 中国大陆,,0,蓝百万2,"剧情,喜剧"
17,86, 英语, 美国,,0,痊愈,恐怖
13,93, 日语, 日本,,0,即便明天世界终结,"剧情,科幻,动画"
55,, 英语," 芬兰 , 美国",,0,愤怒的小鸟2,"喜剧,动画,冒险"
26,58, 英语, 美国,,0,亚当·德维尼：人生中的最佳时光,喜剧
15,91,," 法国 , 英国",,0,最后一步,"动作,惊悚"
21,75, 汉语普通话, 中国大陆,,0,智深传2,动作
54,96, 汉语普通话, 中国大陆,,0,搞怪奇妙夜,"剧情,喜剧"
58,109, 英语, 罗马尼亚,6.1,30,亲爱的拉蒙娜,"喜剧,爱情"
33,82, 英语, 英国,3.5,20,死亡之棚,恐怖
153,60, 英语, 美国,6.3,30,凯文·哈特：不负责任,喜剧
29,44, 英语, 美国,5.5,30,漫威崛起：钢铁之心,"动作,动画"
379,95, 英语, 美国,6.8,35,遗失的环节,"动画,冒险"
58,87, 英语," 西班牙 , 意大利 , 英国",4.7,25,竞速传奇,"动作,运动"
159,111, 意大利语," 意大利 , 法国",6.3,30,无情暴虐,"剧情,犯罪"
232,, 英语, 美国,,0,沉睡魔咒2：恶魔夫人,"奇幻,冒险"
